Algorithm,F1-Score,Accuracy,Precision,Recall
One-Class SVM (nu=0.05),0.38461538461538464,0.744,0.46153846153846156,0.32967032967032966
Isolation Forest (100 est),0.5119846596356663,0.6606666666666666,0.39322533136966126,0.7335164835164835
"LOF (k=20, novelty)",0.31671554252199413,0.6893333333333334,0.33962264150943394,0.2967032967032967
Autoencoder (Narrow),0.46303501945525294,0.632,0.35843373493975905,0.6538461538461539
Naive Baseline (vel < -0.05),0.7006737247353224,0.7926666666666666,0.5392592592592592,1.0
