Fold,F1,Precision,Recall
1,0.45,0.3142580019398642,0.7921760391198044
2,0.5169082125603864,0.4068441064638783,0.7086092715231788
3,0.42301458670988656,0.2721584984358707,0.9490909090909091
4,0.3525535420098847,0.4672489082969432,0.2830687830687831
